#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AppVShNotify","0","156","4392005632","1015808","1757184","8392","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","Microsoft Corporation","0.015625","5.1.145.0","5.1.145.0","AppVShNotify","Microsoft Application Virtualization (App-V)","Process","8",,"False",,"2612","Microsoft.Win32.SafeHandles.SafeProcessHandle","156","7056",".","0","","System.Diagnostics.ProcessModule (AppVShNotify.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8392","8392","1757184","1757184","128328","128328","2007040","2007040","7516160","7516160","105426944","4400394240","True","Normal","1757184","1757184","00:00:00.0156250","AppVShNotify","15","True","0","System.Diagnostics.ProcessStartInfo","2019/4/25 13:30:35",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","97038336","4392005632","False",,,,"1015808","1015808",,
"chrome","5","278","2203741818880","22163456","13635584","19672","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.09375","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","4",,"False",,"2660","Microsoft.Win32.SafeHandles.SafeProcessHandle","278","572",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19672","19672","13635584","13635584","435752","435752","13717504","13717504","22265856","22265856","423596032","2203741818880","True","Idle","13635584","13635584","00:00:00.0468750","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 9:01:35",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0468750","423596032","2203741818880","False",,,,"22163456","22163456",,
"chrome","5","359","2205094559744","70021120","131715072","53440","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","13.8125","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2588","Microsoft.Win32.SafeHandles.SafeProcessHandle","359","3032",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","53440","53440","131715072","131715072","580288","580288","247250944","247250944","237096960","237096960","1782468608","2205100691456","True","Normal","131715072","131715072","00:00:01.3750000","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:13.8125000","00:00:12.4375000","1776336896","2205094559744","False",,,,"70021120","70021120",,
"chrome","5","614","2204062109696","82292736","83197952","28208","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","48.453125","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2172","Microsoft.Win32.SafeHandles.SafeProcessHandle","614","4236",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28208","28208","83197952","83197952","786088","786088","416907264","416907264","211410944","211410944","985587712","2204303810560","True","Normal","83197952","83197952","00:00:19.1562500","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:48.4531250","00:00:29.2968750","743886848","2204062109696","False",,,,"82292736","82292736",,
"chrome","5","1654","2204078317568","179052544","173707264","73376","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","193.28125","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2196","Microsoft.Win32.SafeHandles.SafeProcessHandle","1654","9180",".","329696","?? Bing ?? - ??? - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73376","73376","173707264","173707264","948056","948056","249749504","249749504","261861376","261861376","824295424","2204142518272","True","Normal","173707264","173707264","00:01:13.5781250","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:03:13.2812500","00:01:59.7031250","760094720","2204078317568","False",,,,"179052544","179052544",,
"chrome","5","314","2203817484288","35086336","24887296","23520","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.96875","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2808","Microsoft.Win32.SafeHandles.SafeProcessHandle","314","11068",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23520","23520","24887296","24887296","510832","510832","26963968","26963968","48476160","48476160","506867712","2203825090560","True","Normal","24887296","24887296","00:00:00.2812500","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9687500","00:00:00.6875000","499261440","2203817484288","False",,,,"35086336","35086336",,
"chrome","5","502","2203645431808","33841152","20262912","26896","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","13.828125","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2840","Microsoft.Win32.SafeHandles.SafeProcessHandle","502","11808",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26896","26896","20262912","20262912","498448","498448","22089728","22089728","39415808","39415808","370384896","2203688607744","True","Normal","20262912","20262912","00:00:05.3593750","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:13.8281250","00:00:08.4687500","327208960","2203645431808","False",,,,"33841152","33841152",,
"chrome","5","288","2203777011712","35250176","28557312","23520","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.953125","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2872","Microsoft.Win32.SafeHandles.SafeProcessHandle","288","13900",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23520","23520","28557312","28557312","419496","419496","32706560","32706560","45309952","45309952","473272320","2203791495168","True","Normal","28557312","28557312","00:00:00.4218750","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9531250","00:00:00.5312500","458788864","2203777011712","False",,,,"35250176","35250176",,
"chrome","5","288","2203776094208","27230208","28426240","23520","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.59375","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2904","Microsoft.Win32.SafeHandles.SafeProcessHandle","288","14324",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23520","23520","28426240","28426240","419496","419496","31989760","31989760","45432832","45432832","468422656","2203786645504","True","Normal","28426240","28426240","00:00:00.1875000","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5937500","00:00:00.4062500","457871360","2203776094208","False",,,,"27230208","27230208",,
"chrome","5","142","2203449114624","7786496","2019328","10808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.046875","73.0.3683.86","73.0.3683.86","Google Chrome","Google Chrome","Process","8",,"False",,"2940","Microsoft.Win32.SafeHandles.SafeProcessHandle","142","19464",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10808","10808","2019328","2019328","179080","179080","2764800","2764800","9117696","9117696","132988928","2203451211776","True","Normal","2019328","2019328","00:00:00.0312500","chrome","15","True","5","System.Diagnostics.ProcessStartInfo","2019/4/29 8:23:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","130891776","2203449114624","False",,,,"7786496","7786496",,
